CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Churned
12885,62,71,1175.22,2,3,3,8,Loyal,0
12886,67,82,1378.4,2,3,3,8,Loyal,0
12888,213,5,354.12,1,1,2,4,Lost,1
12890,23,78,375.07,3,3,2,8,Loyal,0
12891,185,3,331,1,1,2,4,Lost,1
12893,30,27,149.2,3,2,1,6,At Risk,0
12895,41,22,372.8,3,2,2,7,Loyal,0
12897,204,4,216.5,1,1,1,3,Lost,1
12901,8,116,17654.54,4,4,4,12,Champions,0
12902,264,10,138.68,1,1,1,3,Lost,1
12904,17,67,479.81,4,3,2,9,Loyal,0
12906,11,63,2919.81,4,3,4,11,Champions,0
12908,175,2,750,1,1,3,5,At Risk,1
12909,39,90,2163.82,3,3,4,10,Champions,0
12910,22,75,3075.04,3,3,4,10,Champions,0
12912,2,24,1662.3,4,2,4,10,Champions,0
12913,4,50,2483.63,4,3,4,11,Champions,0
12915,148,22,363.65,1,2,2,5,At Risk,1
12916,138,97,2861.95,2,3,4,9,Loyal,1
12917,127,2,594,2,1,2,5,At Risk,1
12919,7,50,1335.19,4,3,3,10,Champions,0
12920,16,27,162.78,4,2,1,7,Loyal,0
12921,8,720,16587.09,4,4,4,12,Champions,0
12922,160,28,405.38,1,2,2,5,At Risk,1
12923,63,28,172.82,2,2,1,5,At Risk,0
12924,87,27,788.14,2,2,3,7,Loyal,0
12925,4,45,694.05,4,3,3,10,Champions,0
12928,34,84,2062.7,3,3,4,10,Champions,0
12929,311,8,117.85,1,1,1,3,Lost,1
12930,77,25,415.8,2,2,2,6,At Risk,0
12931,21,79,41260.76,3,3,4,10,Champions,0
12933,23,105,600.03,3,4,2,9,Loyal,0
12935,1,129,2160.7,4,4,4,12,Champions,0
12936,16,62,1063.9,4,3,3,10,Champions,0
12937,14,120,1504.27,4,4,3,11,Champions,0
12938,25,9,114.14,3,1,1,5,At Risk,0
12939,63,47,11581.8,2,3,4,9,Loyal,0
12940,54,92,884.69,2,3,3,8,Loyal,0
12942,130,70,675.6,2,3,3,8,Loyal,1
12944,35,30,604.51,3,2,2,7,Loyal,0
12945,287,23,462.95,1,2,2,5,At Risk,1
12947,143,97,1603.99,1,3,4,8,Loyal,1
12948,15,116,2064.95,4,4,4,12,Champions,0
12949,30,215,4167.22,3,4,4,11,Champions,0
12950,1,23,1843,4,2,4,10,Champions,0
12951,8,63,1064.07,4,3,3,10,Champions,0
12952,5,79,1387.79,4,3,3,10,Champions,0
12953,9,17,329.85,4,2,2,8,Loyal,0
12955,0,180,4757.16,4,4,4,12,Champions,0
12956,305,19,108.07,1,2,1,4,Lost,1
12957,9,238,4017.54,4,4,4,12,Champions,0
12962,6,16,266.39,4,1,1,6,At Risk,0
12963,7,95,1856.63,4,3,4,11,Champions,0
12965,88,108,769.81,2,4,3,9,Loyal,0
12966,9,10,160.18,4,1,1,6,At Risk,0
12967,357,19,1660.9,1,2,4,7,Loyal,1
12968,111,5,135.95,2,1,1,4,Lost,1
12970,6,117,376.73,4,4,2,10,Champions,0
12971,3,305,11189.91,4,4,4,12,Champions,0
12974,197,8,144.8,1,1,1,3,Lost,1
12976,211,22,738.6,1,2,3,6,At Risk,1
12977,155,9,39.24,1,1,1,3,Lost,1
12980,157,20,7374.9,1,2,4,7,Loyal,1
12981,29,20,372.22,3,2,2,7,Loyal,0
12982,242,28,390.54,1,2,2,5,At Risk,1
12984,18,4,97.5,3,1,1,5,At Risk,0
12985,0,76,1239.38,4,3,3,10,Champions,0
12987,73,28,558.7,2,2,2,6,At Risk,0
12988,291,75,476.42,1,3,2,6,At Risk,1
12989,2,64,6924.11,4,3,4,11,Champions,0
12990,30,13,409.5,3,1,2,6,At Risk,0
12991,22,31,503.76,3,2,2,7,Loyal,0
12993,22,27,414.76,3,2,2,7,Loyal,0
12994,3,61,974.42,4,3,3,10,Champions,0
12995,84,3,211.32,2,1,1,4,Lost,0
12997,21,59,1226.89,3,3,3,9,Loyal,0
12999,195,28,455.88,1,2,2,5,At Risk,1
13000,106,31,534.85,2,2,2,6,At Risk,1
13001,3,329,9708.78,4,4,4,12,Champions,0
13002,317,7,120.95,1,1,1,3,Lost,1
13003,105,6,149.05,2,1,1,4,Lost,1
13004,11,404,5655.91,4,4,4,12,Champions,0
13005,173,26,513.7,1,2,2,5,At Risk,1
13006,55,4,81.57,2,1,1,4,Lost,0
13008,322,14,229.47,1,1,1,3,Lost,1
13011,371,3,50.55,1,1,1,3,Lost,1
13012,8,88,1646.84,4,3,4,11,Champions,0
13013,0,219,4810.94,4,4,4,12,Champions,0
13014,10,109,3466.28,4,4,4,12,Champions,0
13015,52,175,3339.64,2,4,4,10,Champions,0
13016,72,47,789.89,2,3,3,8,Loyal,0
13017,6,1,204,4,1,1,6,At Risk,0
13018,15,458,7277.7,4,4,4,12,Champions,0
13021,3,131,2616.38,4,4,4,12,Champions,0
13023,63,40,689.9,2,2,3,7,Loyal,0
13026,0,40,975.36,4,2,3,9,Loyal,0
13027,113,26,6912,2,2,4,8,Loyal,1
13028,22,45,661.32,3,3,3,9,Loyal,0
13029,30,10,1247.5,3,1,3,7,Loyal,0
13030,10,78,633.96,4,3,2,9,Loyal,0
13032,51,71,1010.18,2,3,3,8,Loyal,0
13033,356,11,190.55,1,1,1,3,Lost,1
13034,54,37,642.77,2,2,3,7,Loyal,0
13035,73,27,921.88,2,2,3,7,Loyal,0
13037,137,48,881.07,2,3,3,8,Loyal,1
13038,79,28,908.46,2,2,3,7,Loyal,0
13040,8,43,676.99,4,3,3,10,Champions,0
13043,272,13,516.42,1,1,2,4,Lost,1
13044,290,33,560.47,1,2,2,5,At Risk,1
13045,98,18,305.28,2,2,2,6,At Risk,1
13046,30,35,629.31,3,2,2,7,Loyal,0
13047,31,172,3237.54,3,4,4,11,Champions,0
13048,13,134,1810.91,4,4,4,12,Champions,0
13049,63,14,656.68,2,1,3,6,At Risk,0
13050,14,401,5829.33,4,4,4,12,Champions,0
13052,211,18,348.15,1,2,2,5,At Risk,1
13055,77,76,1214.41,2,3,3,8,Loyal,0
13058,24,8,271.4,3,1,1,5,At Risk,0
13059,249,8,183.4,1,1,1,3,Lost,1
13060,253,15,307.53,1,1,2,4,Lost,1
13061,71,10,248.61,2,1,1,4,Lost,0
13062,190,11,346.98,1,1,2,4,Lost,1
13064,12,67,1100.64,4,3,3,10,Champions,0
13065,372,14,205.86,1,1,1,3,Lost,1
13066,23,48,470.8,3,3,2,8,Loyal,0
13067,81,14,99.56,2,1,1,4,Lost,0
13068,9,2,344,4,1,2,7,Loyal,0
13069,0,419,4415.65,4,4,4,12,Champions,0
13070,191,9,228.8,1,1,1,3,Lost,1
13072,266,7,177.15,1,1,1,3,Lost,1
13075,129,22,919.61,2,2,3,7,Loyal,1
13077,0,111,728.02,4,4,3,11,Champions,0
13078,2,358,12627.94,4,4,4,12,Champions,0
13079,3,6,220.1,4,1,1,6,At Risk,0
13080,178,6,58.08,1,1,1,3,Lost,1
13081,11,1024,28337.38,4,4,4,12,Champions,0
13082,125,73,3613.63,2,3,4,9,Loyal,1
13083,3,18,303.75,4,2,2,8,Loyal,0
13085,157,22,416.08,1,2,2,5,At Risk,1
13089,2,1812,58682.28,4,4,4,12,Champions,0
13090,8,155,8910.82,4,4,4,12,Champions,0
13091,27,21,345.82,3,2,2,7,Loyal,0
13092,70,25,477.83,2,2,2,6,At Risk,0
13093,275,159,7832.47,1,4,4,9,Loyal,1
13094,20,24,1927.32,3,2,4,9,Loyal,0
13095,70,6,74.4,2,1,1,4,Lost,0
13097,32,416,5946.17,3,4,4,11,Champions,0
13098,0,572,28882.44,4,4,4,12,Champions,0
13099,98,1,207.36,2,1,1,4,Lost,1
13101,233,8,101.19,1,1,1,3,Lost,1
13102,0,304,6424.09,4,4,4,12,Champions,0
13103,39,8,243.94,3,1,1,5,At Risk,0
13104,2,20,1098.48,4,2,3,9,Loyal,0
13106,132,1,76.5,2,1,1,4,Lost,1
13107,43,58,1531.62,3,3,3,9,Loyal,0
13108,372,10,350.06,1,1,2,4,Lost,1
13109,59,47,786.54,2,3,3,8,Loyal,0
13110,30,144,1487.22,3,4,3,10,Champions,0
13113,0,200,12245.96,4,4,4,12,Champions,0
13115,11,120,2294.78,4,4,4,12,Champions,0
13116,137,30,501.14,2,2,2,6,At Risk,1
13117,21,76,984.91,3,3,3,9,Loyal,0
13118,19,79,1197.81,3,3,3,9,Loyal,0
13120,238,1,30.6,1,1,1,3,Lost,1
13121,268,50,283.73,1,3,1,5,At Risk,1
13122,93,55,922.39,2,3,3,8,Loyal,1
13124,89,215,3708.73,2,4,4,10,Champions,0
13126,4,140,2099.64,4,4,4,12,Champions,0
13127,77,15,259.17,2,1,1,4,Lost,0
13130,93,2,64,2,1,1,4,Lost,1
13131,22,44,1073.3,3,3,3,9,Loyal,0
13132,261,3,77.3,1,1,1,3,Lost,1
13133,273,7,109.8,1,1,1,3,Lost,1
13134,85,98,1793.58,2,4,4,10,Champions,0
13135,196,1,3096,1,1,4,6,At Risk,1
13136,55,127,2607.61,2,4,4,10,Champions,0
13137,10,644,3392.72,4,4,4,12,Champions,0
13138,21,63,962.39,3,3,3,9,Loyal,0
13139,15,170,5064.94,4,4,4,12,Champions,0
13140,107,45,422.47,2,3,2,7,Loyal,1
13141,84,135,2388.75,2,4,4,10,Champions,0
13142,18,23,307.09,3,2,2,7,Loyal,0
13144,332,3,110.95,1,1,1,3,Lost,1
13145,39,6,618.52,3,1,2,6,At Risk,0
13146,25,16,222.41,3,1,1,5,At Risk,0
13147,9,4,712.8,4,1,3,8,Loyal,0
13148,28,300,3635.03,3,4,4,11,Champions,0
13149,13,86,1676.06,4,3,4,11,Champions,0
13151,295,73,1248.57,1,3,3,7,Loyal,1
13153,5,15,486.22,4,1,2,7,Loyal,0
13155,32,84,965.86,3,3,3,9,Loyal,0
13157,48,87,1741.22,3,3,4,10,Champions,0
13158,94,79,1201.06,2,3,3,8,Loyal,1
13159,8,119,1428.1,4,4,3,11,Champions,0
13160,21,4,91.8,3,1,1,5,At Risk,0
13161,312,8,112.75,1,1,1,3,Lost,1
13162,121,79,1688.29,2,3,4,9,Loyal,1
13165,45,42,1021.48,3,3,3,9,Loyal,0
13166,282,39,399.15,1,2,2,5,At Risk,1
13167,18,65,791.33,3,3,3,9,Loyal,0
13168,35,124,1292.01,3,4,3,10,Champions,0
13169,63,13,712.88,2,1,3,6,At Risk,0
13170,26,29,107.64,3,2,1,6,At Risk,0
13171,21,46,468.41,3,3,2,8,Loyal,0
13173,3,43,353.65,4,3,2,9,Loyal,0
13174,15,258,2567.85,4,4,4,12,Champions,0
13176,45,66,479.83,3,3,2,8,Loyal,0
13177,64,17,282.45,2,2,1,5,At Risk,0
13178,25,265,5725.47,3,4,4,11,Champions,0
13182,44,11,121.18,3,1,1,5,At Risk,0
13183,7,94,3957.78,4,3,4,11,Champions,0
13184,14,178,1666.63,4,4,4,12,Champions,0
13185,267,1,71.4,1,1,1,3,Lost,1
13186,39,79,1575.89,3,3,4,10,Champions,0
13187,336,37,236.02,1,2,1,4,Lost,1
13188,10,2,114.6,4,1,1,6,At Risk,0
13189,18,29,260.68,3,2,1,6,At Risk,0
13192,94,63,911.94,2,3,3,8,Loyal,1
13193,60,22,104.23,2,2,1,5,At Risk,0
13194,135,3,60.7,2,1,1,4,Lost,1
13196,10,110,1797.78,4,4,4,12,Champions,0
13198,9,226,3401.24,4,4,4,12,Champions,0
13199,3,119,9817.12,4,4,4,12,Champions,0
13200,18,46,870.09,3,3,3,9,Loyal,0
13203,9,57,869.46,4,3,3,10,Champions,0
13207,14,8,250.26,4,1,1,6,At Risk,0
13208,58,146,1203.08,2,4,3,9,Loyal,0
13209,29,320,5861.01,3,4,4,11,Champions,0
13210,93,22,353.48,2,2,2,6,At Risk,1
13211,9,54,1088.92,4,3,3,10,Champions,0
13212,19,140,783.53,3,4,3,10,Champions,0
13213,56,90,1520.58,2,3,3,8,Loyal,0
13216,267,5,333.74,1,1,2,4,Lost,1
13217,121,4,533.98,2,1,2,5,At Risk,1
13218,126,5,62.64,2,1,1,4,Lost,1
13220,77,21,819.29,2,2,3,7,Loyal,0
13221,239,66,847.41,1,3,3,7,Loyal,1
13223,199,5,163.2,1,1,1,3,Lost,1
13224,59,108,2155.95,2,4,4,10,Champions,0
13225,2,32,6463.84,4,2,4,10,Champions,0
13226,272,16,108.21,1,1,1,3,Lost,1
13227,201,9,257.7,1,1,1,3,Lost,1
13228,80,2,358,2,1,2,5,At Risk,0
13229,225,10,160.95,1,1,1,3,Lost,1
13230,3,573,2709.99,4,4,4,12,Champions,0
13232,12,200,1322.3,4,4,3,11,Champions,0
13233,73,43,605.12,2,3,2,7,Loyal,0
13235,211,53,973.17,1,3,3,7,Loyal,1
13236,23,36,744.85,3,2,3,8,Loyal,0
13238,16,31,700.73,4,2,3,9,Loyal,0
13239,261,21,329.56,1,2,2,5,At Risk,1
13240,95,66,651.8,2,3,3,8,Loyal,1
13242,111,13,270.4,2,1,1,4,Lost,1
13243,202,56,578.32,1,3,2,6,At Risk,1
13244,92,27,121.74,2,2,1,5,At Risk,1
13245,50,16,430.5,3,1,2,6,At Risk,0
13246,17,135,1945.02,4,4,4,12,Champions,0
13247,17,25,501.12,4,2,2,8,Loyal,0
13248,124,26,465.68,2,2,2,6,At Risk,1
13249,91,23,711.41,2,2,3,7,Loyal,1
13253,156,36,1030.4,1,2,3,6,At Risk,1
13255,8,13,399.51,4,1,2,7,Loyal,0
13258,11,35,665.88,4,2,3,9,Loyal,0
13259,61,77,266.95,2,3,1,6,At Risk,0
13260,60,8,557.62,2,1,2,5,At Risk,0
13261,268,9,944.1,1,1,3,5,At Risk,1
13262,262,11,200.29,1,1,1,3,Lost,1
13263,0,1655,7298.93,4,4,4,12,Champions,0
13265,52,90,2092.66,2,3,4,9,Loyal,0
13266,10,187,3834.26,4,4,4,12,Champions,0
13267,2,211,4521.49,4,4,4,12,Champions,0
13268,17,427,3144.15,4,4,4,12,Champions,0
13269,0,314,5341.63,4,4,4,12,Champions,0
13270,365,1,590,1,1,2,4,Lost,1
13271,36,79,183.82,3,3,1,7,Loyal,0
13272,30,15,276.56,3,1,1,5,At Risk,0
13273,112,16,138.98,2,1,1,4,Lost,1
13276,63,30,590.93,2,2,2,6,At Risk,0
13277,15,8,258.4,4,1,1,6,At Risk,0
13278,40,46,542.73,3,3,2,8,Loyal,0
13279,77,9,137.75,2,1,1,4,Lost,0
13280,121,80,787.16,2,3,3,8,Loyal,1
13282,17,37,1132.14,4,2,3,9,Loyal,0
13283,59,7,93.66,2,1,1,4,Lost,0
13284,330,13,201.19,1,1,1,3,Lost,1
13285,22,187,2709.12,3,4,4,11,Champions,0
13291,155,41,358.59,1,3,2,6,At Risk,1
13292,38,31,578.94,3,2,2,7,Loyal,0
13294,189,54,873.74,1,3,3,7,Loyal,1
13295,359,10,201.2,1,1,1,3,Lost,1
13296,136,5,87.4,2,1,1,4,Lost,1
13297,7,59,2089.85,4,3,4,11,Champions,0
13298,0,2,360,4,1,2,7,Loyal,0
13299,267,5,142.5,1,1,1,3,Lost,1
13300,168,20,371.89,1,2,2,5,At Risk,1
13301,103,81,618.09,2,3,2,7,Loyal,1
13302,154,1,63.75,1,1,1,3,Lost,1
13304,350,21,300.42,1,2,2,5,At Risk,1
13305,3,81,2000.86,4,3,4,11,Champions,0
13307,119,1,15,2,1,1,4,Lost,1
13308,22,54,1385.51,3,3,3,9,Loyal,0
13309,6,107,1456.79,4,4,3,11,Champions,0
13310,27,72,1132.03,3,3,3,9,Loyal,0
13311,3,26,598.57,4,2,2,8,Loyal,0
13313,21,78,1555.32,3,3,3,9,Loyal,0
13314,1,61,761.09,4,3,3,10,Champions,0
13316,36,86,5732.93,3,3,4,10,Champions,0
13317,65,124,2273.68,2,4,4,10,Champions,0
13318,0,20,640.76,4,2,3,9,Loyal,0
13319,4,476,10845.55,4,4,4,12,Champions,0
13320,77,105,1532.2,2,4,3,9,Loyal,0
13321,71,11,567.36,2,1,2,5,At Risk,0
13322,16,25,199.48,4,2,1,7,Loyal,0
13323,2,21,787.85,4,2,3,9,Loyal,0
13324,35,75,7121.95,3,3,4,10,Champions,0
13325,81,12,675.3,2,1,3,6,At Risk,0
13327,38,108,3627.77,3,4,4,11,Champions,0
13328,315,17,1308.48,1,2,3,6,At Risk,1
13329,31,17,789,3,2,3,8,Loyal,0
13330,92,53,1140.93,2,3,3,8,Loyal,1
13332,13,21,350.9,4,2,2,8,Loyal,0
13334,81,260,3447.37,2,4,4,10,Champions,0
13336,76,51,795.12,2,3,3,8,Loyal,0
13338,157,19,487.02,1,2,2,5,At Risk,1
13339,200,54,860.12,1,3,3,7,Loyal,1
13340,44,134,10736.48,3,4,4,11,Champions,0
13341,260,42,775.85,1,3,3,7,Loyal,1
13343,177,19,353.43,1,2,2,5,At Risk,1
13344,67,116,2511.69,2,4,4,10,Champions,0
13345,287,20,389.5,1,2,2,5,At Risk,1
13347,69,8,341.36,2,1,2,5,At Risk,0
13348,63,14,233.76,2,1,1,4,Lost,0
13349,10,16,247.32,4,1,1,6,At Risk,0
13350,15,40,979.12,4,2,3,9,Loyal,0
13351,65,16,373.94,2,1,2,5,At Risk,0
13352,59,24,397.98,2,2,2,6,At Risk,0
13354,70,51,743.53,2,3,3,8,Loyal,0
13355,121,32,674.7,2,2,3,7,Loyal,1
13356,79,42,768.24,2,3,3,8,Loyal,0
13357,256,85,584.9,1,3,2,6,At Risk,1
13358,268,29,439.03,1,2,2,5,At Risk,1
13359,63,23,439.56,2,2,2,6,At Risk,0
13362,8,166,3090.74,4,4,4,12,Champions,0
13363,17,60,992.5,4,3,3,10,Champions,0
13364,70,10,134.96,2,1,1,4,Lost,0
13365,33,128,2225.37,3,4,4,11,Champions,0
13366,49,1,56.16,3,1,1,5,At Risk,0
13368,256,29,623.4,1,2,2,5,At Risk,1
13369,365,14,308.28,1,1,2,4,Lost,1
13370,371,39,754.87,1,2,3,6,At Risk,1
13372,89,23,378.64,2,2,2,6,At Risk,0
13373,60,158,3312.25,2,4,4,10,Champions,0
13375,88,37,778.65,2,2,3,7,Loyal,0
13376,98,53,1019.76,2,3,3,8,Loyal,1
13379,25,94,555.72,3,3,2,8,Loyal,0
13381,31,172,3639.31,3,4,4,11,Champions,0
13382,280,15,222.99,1,1,1,3,Lost,1
13384,30,152,4151.93,3,4,4,11,Champions,0
13385,329,35,534.57,1,2,2,5,At Risk,1
13388,130,35,677.1,2,2,3,7,Loyal,1
13389,10,51,797.96,4,3,3,10,Champions,0
13390,74,13,544.08,2,1,2,5,At Risk,0
13391,203,1,59.8,1,1,1,3,Lost,1
13394,1,155,2520.02,4,4,4,12,Champions,0
13395,184,21,307.72,1,2,2,5,At Risk,1
13396,28,43,1360.99,3,3,3,9,Loyal,0
13397,72,38,1544.13,2,2,3,7,Loyal,0
13398,191,26,457.34,1,2,2,5,At Risk,1
13402,126,39,621.23,2,2,2,6,At Risk,1
13403,17,3,75,4,1,1,6,At Risk,0
13404,0,11,252.49,4,1,1,6,At Risk,0
13405,73,26,572.45,2,2,2,6,At Risk,0
13408,1,478,28117.04,4,4,4,12,Champions,0
13410,23,28,1003.06,3,2,3,8,Loyal,0
13411,106,17,209.8,2,2,1,5,At Risk,1
13414,133,24,1390.5,2,2,3,7,Loyal,1
13416,43,19,712.5,3,2,3,8,Loyal,0
13417,4,28,640.83,4,2,3,9,Loyal,0
13418,11,304,6127.43,4,4,4,12,Champions,0
13419,63,16,221.06,2,1,1,4,Lost,0
13420,149,8,159.85,1,1,1,3,Lost,1
13421,39,101,1794.11,3,4,4,11,Champions,0
13422,63,127,2626.3,2,4,4,10,Champions,0
13425,107,78,1624.21,2,3,4,9,Loyal,1
13426,0,157,3641.32,4,4,4,12,Champions,0
13427,18,29,582.6,3,2,2,7,Loyal,0
13428,9,70,199.29,4,3,1,8,Loyal,0
13429,10,67,1006.8,4,3,3,10,Champions,0
13430,18,49,679.45,3,3,3,9,Loyal,0
13431,66,46,1269.1,2,3,3,8,Loyal,0
13434,73,10,534.24,2,1,2,5,At Risk,0
13435,4,100,3790.09,4,4,4,12,Champions,0
13436,1,12,196.89,4,1,1,6,At Risk,0
13437,13,167,3408.06,4,4,4,12,Champions,0
13439,254,54,283.71,1,3,1,5,At Risk,1
13441,91,13,296.64,2,1,2,5,At Risk,1
13447,22,59,1129.14,3,3,3,9,Loyal,0
13448,16,190,3478.19,4,4,4,12,Champions,0
13449,23,19,291.88,3,2,1,6,At Risk,0
13450,26,71,2043.72,3,3,4,10,Champions,0
13451,25,424,2870.45,3,4,4,11,Champions,0
13452,258,2,590,1,1,2,4,Lost,1
13453,165,17,356.98,1,2,2,5,At Risk,1
13455,24,46,1058.34,3,3,3,9,Loyal,0
13456,17,63,1766.72,4,3,4,11,Champions,0
13458,6,382,9646.57,4,4,4,12,Champions,0
13460,28,17,183.44,3,2,1,6,At Risk,0
13461,38,27,1445,3,2,3,8,Loyal,0
13462,252,9,151.5,1,1,1,3,Lost,1
13464,57,41,674.68,2,3,3,8,Loyal,0
13466,183,17,307.9,1,2,2,5,At Risk,1
13467,10,91,994.76,4,3,3,10,Champions,0
13468,1,302,5704.97,4,4,4,12,Champions,0
13470,98,10,165,2,1,1,4,Lost,1
13471,0,233,2391.17,4,4,4,12,Champions,0
13473,60,21,422.64,2,2,2,6,At Risk,0
13474,235,59,222.79,1,3,1,5,At Risk,1
13475,190,86,1431.78,1,3,3,7,Loyal,1
13476,178,58,1238.47,1,3,3,7,Loyal,1
13477,37,79,1454.58,3,3,3,9,Loyal,0
13479,200,15,300.95,1,1,2,4,Lost,1
13481,45,109,1804.56,3,4,4,11,Champions,0
13482,231,11,184.64,1,1,1,3,Lost,1
13483,65,10,140.34,2,1,1,4,Lost,0
13484,240,8,313.8,1,1,2,4,Lost,1
13485,232,23,454.24,1,2,2,5,At Risk,1
13486,77,69,1122.41,2,3,3,8,Loyal,0
13487,57,34,575.4,2,2,2,6,At Risk,0
13488,16,422,8968.31,4,4,4,12,Champions,0
13489,104,14,449.52,2,1,2,5,At Risk,1
13491,51,86,1215.82,2,3,3,8,Loyal,0
13494,311,18,316.26,1,2,2,5,At Risk,1
13495,7,48,2044.87,4,3,4,11,Champions,0
13496,10,35,653.33,4,2,3,9,Loyal,0
13497,282,19,348.05,1,2,2,5,At Risk,1
13499,17,42,1159.11,4,3,3,10,Champions,0
13500,22,65,1166.77,3,3,3,9,Loyal,0
13502,16,18,292,4,2,1,7,Loyal,0
13503,70,17,216.85,2,2,1,5,At Risk,0
13504,63,22,295.93,2,2,2,6,At Risk,0
13506,315,26,458.52,1,2,2,5,At Risk,1
13507,2,162,2479.16,4,4,4,12,Champions,0
13508,243,12,110.97,1,1,1,3,Lost,1
13509,8,44,979.72,4,3,3,10,Champions,0
13510,0,115,1791.56,4,4,4,12,Champions,0
13512,260,15,251.21,1,1,1,3,Lost,1
13513,126,10,205.1,2,1,1,4,Lost,1
13514,73,4,152.2,2,1,1,4,Lost,0
13515,72,59,891.12,2,3,3,8,Loyal,0
13516,20,44,1389.41,3,3,3,9,Loyal,0
13517,59,141,2128.42,2,4,4,10,Champions,0
13518,85,36,627.16,2,2,2,6,At Risk,0
13519,77,8,122.75,2,1,1,4,Lost,0
13521,0,407,1039.27,4,4,3,11,Champions,0
13522,29,5,125.8,3,1,1,5,At Risk,0
13523,32,172,3964.88,3,4,4,11,Champions,0
13524,40,27,680.18,3,2,3,8,Loyal,0
13525,14,6,628.78,4,1,2,7,Loyal,0
13527,33,209,2192.11,3,4,4,11,Champions,0
13529,78,15,307.76,2,1,2,5,At Risk,0
13531,204,22,483.8,1,2,2,5,At Risk,1
13532,33,66,210.31,3,3,1,7,Loyal,0
13533,182,73,260.15,1,3,1,5,At Risk,1
13534,1,296,5870.08,4,4,4,12,Champions,0
13536,0,176,3437.07,4,4,4,12,Champions,0
13538,42,25,1280.85,3,2,3,8,Loyal,0
13539,85,37,631.34,2,2,2,6,At Risk,0
13544,39,78,276.06,3,3,1,7,Loyal,0
13546,11,95,605.69,4,3,2,9,Loyal,0
13548,95,120,618.73,2,4,2,8,Loyal,1
13549,25,51,918.2,3,3,3,9,Loyal,0
13551,318,4,91.8,1,1,1,3,Lost,1
13552,65,108,3698.47,2,4,4,10,Champions,0
13555,73,135,4098.88,2,4,4,10,Champions,0
13557,27,34,584.06,3,2,2,7,Loyal,0
13558,5,167,592.43,4,4,2,10,Champions,0
13560,6,32,171.42,4,2,1,7,Loyal,0
13561,215,14,141.86,1,1,1,3,Lost,1
13562,81,82,1799.33,2,3,4,9,Loyal,0
13563,83,49,777.53,2,3,3,8,Loyal,0
13564,143,79,1693.22,1,3,4,8,Loyal,1
13565,18,38,240.22,3,2,1,6,At Risk,0
13566,40,160,797.25,3,4,3,10,Champions,0
13568,172,41,165.35,1,3,1,5,At Risk,1
13569,16,77,336.5,4,3,2,9,Loyal,0
